"","area","structure_id_path"
"223","Cortex","/997/8/567/688/695/315/31/1053/"
"224","Cortex","/997/8/567/688/695/315/31/739/"
"225","Cortex","/997/8/567/688/695/315/31/179/"
"226","Cortex","/997/8/567/688/695/315/31/227/"
"227","Cortex","/997/8/567/688/695/315/31/39/"
"228","Cortex","/997/8/567/688/695/315/31/39/935/"
"229","Cortex","/997/8/567/688/695/315/31/39/211/"
"230","Cortex","/997/8/567/688/695/315/31/39/1015/"
"231","Cortex","/997/8/567/688/695/315/31/39/919/"
"232","Cortex","/997/8/567/688/695/315/31/39/927/"
"233","Cortex","/997/8/567/688/695/315/31/48/"
"234","Cortex","/997/8/567/688/695/315/31/48/588/"
"235","Cortex","/997/8/567/688/695/315/31/48/296/"
"236","Cortex","/997/8/567/688/695/315/31/48/772/"
"237","Cortex","/997/8/567/688/695/315/31/48/810/"
"238","Cortex","/997/8/567/688/695/315/31/48/819/"
"239","Cortex","/997/8/567/688/695/315/972/"
"240","Cortex","/997/8/567/688/695/315/972/171/"
"241","Cortex","/997/8/567/688/695/315/972/195/"
"242","Cortex","/997/8/567/688/695/315/972/304/"
"243","Cortex","/997/8/567/688/695/315/972/363/"
"244","Cortex","/997/8/567/688/695/315/972/84/"
"245","Cortex","/997/8/567/688/695/315/972/132/"
"246","Cortex","/997/8/567/688/695/315/44/"
"247","Cortex","/997/8/567/688/695/315/44/707/"
"248","Cortex","/997/8/567/688/695/315/44/747/"
"249","Cortex","/997/8/567/688/695/315/44/556/"
"250","Cortex","/997/8/567/688/695/315/44/827/"
"251","Cortex","/997/8/567/688/695/315/44/1054/"
"252","Cortex","/997/8/567/688/695/315/44/1081/"
"253","Cortex","/997/8/567/688/695/315/714/"
"254","Cortex","/997/8/567/688/695/315/714/264/"
"255","Cortex","/997/8/567/688/695/315/714/492/"
"256","Cortex","/997/8/567/688/695/315/714/352/"
"257","Cortex","/997/8/567/688/695/315/714/476/"
"258","Cortex","/997/8/567/688/695/315/714/516/"
"259","Cortex","/997/8/567/688/695/315/714/723/"
"260","Cortex","/997/8/567/688/695/315/714/723/448/"
"261","Cortex","/997/8/567/688/695/315/714/723/412/"
"262","Cortex","/997/8/567/688/695/315/714/723/630/"
"263","Cortex","/997/8/567/688/695/315/714/723/440/"
"264","Cortex","/997/8/567/688/695/315/714/723/488/"
"265","Cortex","/997/8/567/688/695/315/714/731/"
"266","Cortex","/997/8/567/688/695/315/714/731/484/"
"267","Cortex","/997/8/567/688/695/315/714/731/524/"
"268","Cortex","/997/8/567/688/695/315/714/731/582/"
"269","Cortex","/997/8/567/688/695/315/714/731/620/"
"270","Cortex","/997/8/567/688/695/315/714/731/910/"
"271","Cortex","/997/8/567/688/695/315/714/731/527696977/"
"272","Cortex","/997/8/567/688/695/315/714/738/"
"273","Cortex","/997/8/567/688/695/315/714/746/"
"274","Cortex","/997/8/567/688/695/315/714/746/969/"
"275","Cortex","/997/8/567/688/695/315/714/746/288/"
"276","Cortex","/997/8/567/688/695/315/714/746/1125/"
"277","Cortex","/997/8/567/688/695/315/714/746/608/"
"278","Cortex","/997/8/567/688/695/315/714/746/680/"
"279","Cortex","/997/8/567/688/695/315/95/"
"280","Cortex","/997/8/567/688/695/315/95/104/"
"281","Cortex","/997/8/567/688/695/315/95/104/996/"
"282","Cortex","/997/8/567/688/695/315/95/104/328/"
"283","Cortex","/997/8/567/688/695/315/95/104/1101/"
"284","Cortex","/997/8/567/688/695/315/95/104/783/"
"285","Cortex","/997/8/567/688/695/315/95/104/831/"
"286","Cortex","/997/8/567/688/695/315/95/111/"
"287","Cortex","/997/8/567/688/695/315/95/111/120/"
"288","Cortex","/997/8/567/688/695/315/95/111/163/"
"289","Cortex","/997/8/567/688/695/315/95/111/344/"
"290","Cortex","/997/8/567/688/695/315/95/111/314/"
"291","Cortex","/997/8/567/688/695/315/95/111/355/"
"292","Cortex","/997/8/567/688/695/315/95/119/"
"293","Cortex","/997/8/567/688/695/315/95/119/704/"
"294","Cortex","/997/8/567/688/695/315/95/119/694/"
"295","Cortex","/997/8/567/688/695/315/95/119/800/"
"296","Cortex","/997/8/567/688/695/315/95/119/675/"
"297","Cortex","/997/8/567/688/695/315/95/119/699/"
"298","Cortex","/997/8/567/688/695/315/254/"
"299","Cortex","/997/8/567/688/695/315/254/894/"
"300","Cortex","/997/8/567/688/695/315/254/894/671/"
"301","Cortex","/997/8/567/688/695/315/254/894/965/"
"302","Cortex","/997/8/567/688/695/315/254/894/774/"
"303","Cortex","/997/8/567/688/695/315/254/894/906/"
"304","Cortex","/997/8/567/688/695/315/254/894/279/"
"305","Cortex","/997/8/567/688/695/315/254/894/480149258/"
"306","Cortex","/997/8/567/688/695/315/254/894/480149258/480149262/"
"307","Cortex","/997/8/567/688/695/315/254/894/480149258/480149266/"
"308","Cortex","/997/8/567/688/695/315/254/894/480149258/480149270/"
"309","Cortex","/997/8/567/688/695/315/254/894/480149258/480149274/"
"310","Cortex","/997/8/567/688/695/315/254/894/480149258/480149278/"
"311","Cortex","/997/8/567/688/695/315/254/894/480149258/480149282/"
"312","Cortex","/997/8/567/688/695/315/254/894/480149286/"
"313","Cortex","/997/8/567/688/695/315/254/894/480149286/480149290/"
"314","Cortex","/997/8/567/688/695/315/254/894/480149286/480149294/"
"315","Cortex","/997/8/567/688/695/315/254/894/480149286/480149298/"
"316","Cortex","/997/8/567/688/695/315/254/894/480149286/480149302/"
"317","Cortex","/997/8/567/688/695/315/254/894/480149286/480149306/"
"318","Cortex","/997/8/567/688/695/315/254/894/480149286/480149310/"
"319","Cortex","/997/8/567/688/695/315/254/894/480149314/"
"320","Cortex","/997/8/567/688/695/315/254/894/480149314/480149318/"
"321","Cortex","/997/8/567/688/695/315/254/894/480149314/480149322/"
"322","Cortex","/997/8/567/688/695/315/254/894/480149314/480149326/"
"323","Cortex","/997/8/567/688/695/315/254/894/480149314/480149330/"
